date,open,high,low,close,volume,ema7,ema17,enter_tag,support,resistance,enter_long
2024-05-15 00:00:00+00:00,61577.49,62033.48,61319.47,61949.99,2150.95758,61906.47300852361,61926.963429000985,,0.0,0.0,
2024-05-15 04:00:00+00:00,61949.99,62280.01,61818.18,62195.04,2500.5292,61978.61475639271,61956.749714667545,,0.0,0.0,1.0
2024-05-15 08:00:00+00:00,62195.04,62999.44,61923.2,62467.18,5841.97337,62100.75606729453,62013.4641908156,,0.0,0.0,
2024-05-15 12:00:00+00:00,62467.18,65057.26,62402.03,64725.11,18482.64633,62756.8445504709,62314.758169613866,,0.0,0.0,
2024-05-15 16:00:00+00:00,64725.12,66419.15,64720.0,66006.23,9790.73766,63569.19091285318,62724.92170632344,,0.0,0.0,
2024-05-15 20:00:00+00:00,66006.23,66444.16,65738.0,66206.5,4792.90305,64228.518184639885,63111.76373895417,,0.0,0.0,
2024-05-16 00:00:00+00:00,66206.51,66666.0,65746.42,65975.39,4545.03782,64665.236138479915,63429.944434625926,,0.0,66666.0,
2024-05-16 04:00:00+00:00,65975.39,66278.04,65652.92,66142.62,3539.9064,65034.58210385994,63731.352830778604,,0.0,0.0,
2024-05-16 08:00:00+00:00,66142.62,66585.7,66000.0,66503.8,3707.82709,65401.886577894955,64039.40251624765,,0.0,0.0,
2024-05-16 12:00:00+00:00,66503.81,66752.01,65361.51,65818.88,8417.05624,65506.134933421214,64237.122236664574,,0.0,66752.01,
2024-05-16 16:00:00+00:00,65818.89,65827.47,64602.77,65186.85,8466.84763,65426.31370006591,64342.647543701845,,64602.77,0.0,
2024-05-16 20:00:00+00:00,65186.84,65500.0,65050.0,65235.21,2429.69192,65378.53777504944,64441.8211499572,,0.0,0.0,
2024-05-17 00:00:00+00:00,65235.21,65901.46,65106.38,65584.53,3015.02361,65430.03583128708,64568.788799961956,,0.0,0.0,
2024-05-17 04:00:00+00:00,65584.53,66500.0,65367.51,66386.94,4966.49056,65669.26187346531,64770.80559996618,,0.0,0.0,
2024-05-17 08:00:00+00:00,66386.93,66564.23,66068.79,66218.0,3554.56752,65806.44640509898,64931.60497774772,,0.0,0.0,
2024-05-17 12:00:00+00:00,66217.99,67451.2,65828.03,67195.1,7892.28774,66153.60980382423,65183.104424664634,,0.0,67451.2,
2024-05-17 16:00:00+00:00,67195.09,67300.0,66214.67,67047.99,5023.34456,66377.20485286818,65390.31393303523,,0.0,0.0,
2024-05-17 20:00:00+00:00,67047.99,67089.72,66669.72,67024.0,1840.5201,66538.90363965114,65571.83460714243,,0.0,0.0,
2024-05-18 00:00:00+00:00,67024.0,67095.88,66725.53,66945.05,2481.3965,66640.44022973835,65724.41409523772,,0.0,0.0,
2024-05-18 04:00:00+00:00,66945.06,67240.69,66730.0,66887.0,2081.50495,66702.08017230376,65853.59030687797,,0.0,0.0,
2024-05-18 08:00:00+00:00,66887.01,67400.01,66840.0,67190.82,3570.27427,66824.26512922782,66002.17138389153,,0.0,67400.01,
